"id","name","title","gender","birth_date","death_date","min_offset_to_royal","min_dist_to_royal","x","y"
"I33","Mary  (Windsor)","Princess Royal","F",1897,1965,"6","3",53.1132615687462,729.145158255365
"I34","Henry William Frederic (Windsor)","Duke","M",1900,1974,"6","3",93.7462697447618,712.449795263585
"I35","George Edward Alexande (Windsor)","Duke of Kent","M",1902,1942,"6","3",89.7626786898865,692.090027514554
"I36","John Charles Franci (Windsor)","Prince","M",1905,1919,"6","3",103.021972724224,714.267059622525
"I37","Nicholas II Alexandrovich (Romanov)","Tsar of Russia","M",1868,1918,"5","6",-44.9310894100396,831.499468622546
"I38","Victoria Alberta of Hesse","Princess","F",1863,1950,"6","3",116.299807381425,851.323627335657
"I39","Alexandra Fedorovna ""Alix""","Tsarina","F",1872,1918,"6","5",36.0373953926164,821.329029244375
"I40","Alexander III Alexandrovich (Romanov)","Tsar of Russia","M",1845,1894,"5","6",-69.8054025585708,897.201879547344
"I41","Dagmar ""Marie"" of Denmark","Tsarina","F",1847,1928,"5","5",-93.7001130638326,894.64679874407
"I42","Nicholas I  (Romanov)","Tsar of Russia","M",1796,1855,"6","5",134.952321001426,998.601632085407
"I43","Charlotte of Prussia","Princess","F",1798,1860,"6","5",79.0002129603275,994.545215328433
"I44","Alexander II Nicholoevich (Romanov)","Tsar of Russia","M",1818,1881,"6","6",15.070389816891,943.191494698649
"I45","Marie of Hesse- Darmstadt","","F",1824,1880,"6","6",24.5222467513255,945.740206801909
"I46","Olga Nicholovna (Romanov)","Grand Duchess","F",1895,1918,"6","6",-10.1068348424548,744.019540029622
"I47","Tatiana Nicholovna","Grand Duchess","F",1897,1918,"6","6",-25.7871190777247,739.974850875025
"I48","Maria Nicholovna (Romanov)","Grand Duchess","F",1899,1918,"6","6",-3.67623289689767,734.084062658773
"I49","Anastasia Nicholovna (Romanov)","Grand Duchess","F",1901,1918,"6","6",-5.08119325123456,726.622366589189
"I50","Alexis Nicolaievich (Romanov)","Tsarevich","M",1904,1918,"6","6",-16.4980424209916,717.116092706821
"I51","Elizabeth Angela Marguerit (Bowes-Lyon)","Lady","F",1900,,"6","1",117.879960800415,729.027769095671
"I52","Elizabeth II Alexandra Mary (Windsor)","Queen of England","F",1926,,"6","0",57.7777777777778,598.417266235668
"I53","Margaret Rose (Windsor)","Princess","F",1930,,"6","2",90.6796268229846,599.874904719701
"I54","Anthony Charles Rober (Armstrong-Jones)","Earl of Snowdon","M",1930,,"6","3",61.9299577930739,575.797472463211
